RegionID,SizeRank,RegionName,RegionType,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
394748,241,"Kingston, NY",msa,NY,298667,298500,301983,309283,318117,324633,327667,335667,342333,349333,349633,352967,352967,355333,352300,352300,349967,356667,365150,375149,381483,384666,384483,384817,386863,393680,396997,405767,419117,435800,446617,449633,449633,449667,449667,448000,434483,426483,424483,446333,465833,486133,494433,499433,501967,501667,501833,499000,499300,498383,497467,497499,507082,516666,529667,531667,533000,528333,517967,508267,491600
394960,242,"Panama City, FL",msa,FL,277967,276333,276333,279167,283650,287508,291342,293492,294800,294767,294467,294633,293458,292091,292091,298267,,,,,372633,382333,377667,371333,361667,371667,383333,403333,414967,432967,442967,448300,441933,433900,426933,426633,426000,426000,423733,424067,424067,427633,430633,430933,429267,424600,422600,418967,417267,410633,409933,411300,414633,410167,408800,408467,408467,403467,400133,399300,397667
394729,243,"Joplin, MO",msa,MO,151100,151933,151933,150400,149933,153267,155800,160767,166633,171300,171333,165466,159933,158266,161600,169933,176433,176433,170550,167350,169017,172233,174933,175967,181967,189267,196250,199616,197540,195610,193166,194942,202222,207667,209665,204632,203965,210633,223967,234656,242656,245989,247966,243300,240966,239287,242587,243253,243267,241600,236633,233278,228312,229945,233267,239933,243300,241667,236633,230300,226967
394539,244,"Dover, DE",msa,DE,241117,241283,241650,243500,246967,249967,253267,254800,258133,256500,257000,253667,255333,256483,264816,274633,288117,293083,294933,294933,298300,299933,293300,284967,281333,287300,303933,312600,319633,319667,324667,328000,331333,328000,320000,312750,311083,316050,323300,331413,338079,342746,344633,346483,345450,347117,348300,353000,359667,363333,368333,369269,374269,375903,379967,379967,376667,373269,373236,374886,373267
394559,245,"El Centro, CA",msa,CA,258648,258482,258048,261133,261600,260967,259300,262500,264833,259833,258300,258300,259967,260000,258150,,,,301650,295650,284483,280333,277667,288000,289648,293315,292615,302633,312633,322333,335498,341832,341665,336833,333800,331300,327967,321333,318317,318317,326300,332983,337983,336667,339967,339050,336533,328233,324950,327448,332448,339948,343300,343300,342333,345667,349833,347833,344500,343483,354817
394712,246,"Jackson, TN",msa,TN,163700,168700,172950,177417,180350,187833,189500,189233,185417,180417,176083,172767,176133,182167,182667,182667,181667,184000,190333,195000,199300,199600,199900,199900,201733,201733,206733,211600,221300,223000,224633,224933,231567,237267,240600,240617,236617,236617,241633,249967,256633,263267,270667,274000,274017,269950,267650,262983,257983,258633,263300,269967,278300,283133,286450,283133,279650,277983,272983,268317,265000
395246,247,"Yuba City, CA",msa,CA,323267,325767,327467,335000,342667,349333,351800,350300,353633,358667,365833,375000,382483,384650,388783,391267,398267,404633,416000,419333,418000,416633,421633,432965,441148,449298,450297,455480,465663,471333,468000,457667,449663,446747,446247,447916,449166,449999,453000,457967,461300,461300,459567,459233,457900,454566,451567,449567,447998,447998,448332,451317,456317,461317,465000,463150,461150,459150,462333,464000,461000
394406,248,"Bowling Green, KY",msa,KY,233500,235133,236600,236567,236567,239600,239600,241267,240600,241967,236483,230483,225633,222783,223098,228248,235431,242083,245417,249900,248083,244750,246417,253233,259900,263233,264900,268233,270767,275767,282433,283933,289050,289400,291900,286817,286467,286600,289900,292933,299600,309600,314933,319933,321617,323283,321650,316633,313267,309917,311583,316583,323233,326567,324900,319900,314900,310917,307583,307217,304567
395119,249,"St. George, UT",msa,UT,405016,412016,418226,421300,423117,423150,426783,424967,424967,434967,449967,461300,457667,465967,479633,,533333,548333,548333,558224,569857,581524,584933,591300,602050,622050,639050,649967,655000,655000,644967,622967,602933,595267,588933,583967,574667,589667,614333,641000,644208,644542,644842,644933,634900,626600,618300,611633,603300,616600,633267,640742,632442,624142,621667,618333,615000,618300,621600,624933,618300
394896,250,"Muskegon, MI",msa,MI,150467,147133,153433,163917,173617,176950,177933,178233,176567,169900,161600,157467,157467,159100,162600,165933,169267,174900,178233,181567,178267,174950,173183,169850,168167,163117,168083,173117,184950,196617,209917,218250,216283,209617,201300,193267,183267,173267,174783,181450,193083,204933,220633,232333,235667,231633,219967,208267,199783,198100,204800,211633,229650,239650,249667,246633,243267,236600,231600,221633,214933
